k,E0,E1,ΔE,log10_ΔE
1,-5.999999999999998,-5.464101615137751,0.5358983848622474,-0.2709175518693766
2,-12.877429589987042,-12.621809893499645,0.2556196964873969,-0.592405685152845
3,-19.813381729187093,-19.659353091521126,0.15402863766596653,-0.8123985257606461
4,-26.768914490848267,-26.666276552273843,0.10263793857442494,-0.9886920791072364
5,-33.73418890863932,-33.66214932982248,0.07203957881683465,-1.1424288349704845
6,-40.705336848022064,-40.65329527878107,0.05204156924099124,-1.2836496163681737
7,-47.68042976782323,-47.64221969387233,0.038210073950899925,-1.4178221217872078
8,-54.65834513384422,-54.63004059478878,0.028304539055440614,-1.5481439132863164
9,-61.63835474727202,-61.6172946511513,0.021060096120720573,-1.6765396509756378
10,-68.61994915646184,-68.60425148534321,0.015697671118630296,-1.8041647740462128
11,-75.6027537819504,-75.59105046278336,0.01170331916704015,-1.9316909509461382
12,-82.58648494112545,-82.57776492866152,0.008720012463925286,-2.0594828943093932
13,-89.57092454421579,-89.56443391783922,0.006490626376560726,-2.187713389677704
14,-96.55590406318697,-96.55107835587445,0.004825707312519967,-2.3164390223385922
15,-103.54129336060322,-103.53770951080405,0.00358384979917048,-2.445650200114365
16,-110.52699233777314,-110.52433346264786,0.0026588751252774045,-2.5753020589363724
17,-117.51292440282988,-117.51095351673399,0.001970886095890023,-2.705338474328299
18,-124.49903127979985,-124.49757144749577,0.0014598323040786454,-2.8356970302403597
19,-131.4852688621587,-131.48418822583895,0.0010806363197559676,-2.966320440087099
20,-138.47160392218444,-138.47080438031733,0.0007995418671100651,-3.0971587899805244
21,-145.45801152549112,-145.45742019331928,0.0005913321718367115,-3.228168492265785
22,-152.44447302680896,-152.44403581957476,0.0004372072341993771,-3.3593126606590276
23,-159.43097452083006,-159.43065134698045,0.00032317384960833806,-3.490563788461419
24,-166.41750565431522,-166.41726681783433,0.0002388364808894039,-3.621899336508733
25,-173.40405874187533,-173.40388225830782,0.00017648356751465144,-3.753295725799921
